subpose_label,total,training,validation,training_percent,validation_percent
downdog_subpose_1,199,159,40,79.89949748743719,20.100502512562816
goddess_subpose_2,162,130,32,80.24691358024691,19.753086419753085
plank_subpose_1,13,10,3,76.92307692307692,23.076923076923077
plank_subpose_2,124,99,25,79.83870967741936,20.161290322580644
plank_subpose_4,118,95,23,80.50847457627118,19.491525423728813
tree_left_subpose_2,50,40,10,80.0,20.0
tree_right_subpose_2,100,80,20,80.0,20.0
warrior2_left_subpose_1,87,70,17,80.45977011494253,19.54022988505747
warrior2_right_subpose_1,162,129,33,79.62962962962963,20.37037037037037
